,Time,Time (s),Head Temp [°F],RPM [rpm],GPS_Speed [mph],Prop Slip [% Slip]
406,,8120,243724,6673992,26011,73934
407,,8140,243724,6709839,26048,74036
408,,8160,243724,6745741,26085,74138
409,,8180,243724,6781697,26122,74238
410,,8200,243724,6817654,26160,74338
411,,8220,243724,6833245,26272,74287
412,,8240,243724,6848835,26383,74236
413,,8260,243724,6861516,26495,74175
414,,8280,243724,6871287,26607,74103
415,,8300,243724,6881059,26719,74031
416,,8320,243724,6877106,26769,73967
417,,8340,243724,6873154,26818,73904
418,,8360,243724,6864288,26868,73822
419,,8380,243724,6850509,26918,73720
420,,8400,243724,6836730,26968,73619
421,,8420,243724,6818121,27017,73498
422,,8440,243724,6799511,27067,73377
423,,8460,243724,6781340,27117,73256
424,,8480,243724,6763609,27166,73137
425,,8500,243724,6745878,27216,73017
426,,8520,243724,6731221,27291,72884
427,,8540,243724,6716563,27365,72751
428,,8560,243724,6702538,27440,72620
429,,8580,243724,6689143,27514,72490
430,,8600,243724,6675748,27589,72360
431,,8620,243724,6659993,27688,72195
432,,8640,243724,6644238,27788,72029
433,,8660,243724,6616625,27887,71810
434,,8680,243724,6577155,27987,71539
435,,8700,243724,6537685,28086,71268
436,,8720,243724,6450730,28111,70847
437,,8740,243724,6363775,28136,70425
438,,8760,243724,6546029,28161,71106
439,,8780,243724,6997493,28185,72889
440,,8800,243724,7448957,28210,74672
441,,8820,243724,7758843,28173,75656
442,,8840,243724,8068730,28136,76641
443,,8860,243724,8200288,28098,77083
444,,8880,243724,8153517,28061,76982
445,,8900,243724,8106746,28024,76881
446,,8920,243724,8047074,27999,76728
447,,8940,243724,7987402,27974,76576
448,,8960,243724,7986798,27949,76594
449,,8980,243724,8045263,27924,76784
450,,9000,243724,8103727,27900,76975
451,,9020,243724,8197050,27912,77222
452,,9040,243724,8290373,27924,77470
453,,9060,243724,8383201,27937,77710
454,,9080,243724,8475536,27949,77942
455,,9100,243724,8567871,27962,78173
456,,9120,243724,8644726,27974,78355
457,,9140,243724,8721580,27987,78537
458,,9160,243724,8664241,27999,78376
459,,9180,243724,8472709,28011,77872
460,,9200,243724,8281178,28024,77368
461,,9220,243724,7691926,28036,75396
462,,9240,243724,7102673,28049,73425
463,,9260,243724,6674184,28061,71832
464,,9280,243724,6406457,28074,70617
465,,9300,243724,6138729,28086,69401
466,,9320,243724,6138620,28098,69387
467,,9340,243724,6138510,28111,69373
468,,9360,243724,6128601,28123,69309
469,,9380,243724,6108894,28136,69197
470,,9400,243724,6089186,28148,69084
471,,9420,243724,6252831,28142,69869
472,,9440,243724,6416475,28136,70654
473,,9460,243724,6855093,28129,72296
474,,9480,243724,7568684,28123,74796
475,,9500,243724,8282275,28117,77295
476,,9520,243724,8481273,28111,77815
477,,9540,243724,8680271,28105,78334
478,,9560,243724,8772222,28098,78578
479,,9580,243724,8757125,28092,78545
480,,9600,243724,8742028,28086,78513
481,,9620,243724,8726438,28098,78465
482,,9640,243724,8710848,28111,78417
483,,9660,243724,8686858,28123,78348
484,,9680,243724,8654470,28136,78257
485,,9700,243724,8622081,28148,78166
486,,9720,243724,8599189,28136,78117
487,,9740,243724,8576298,28123,78069
488,,9760,243724,8545584,28111,77999
489,,9780,243724,8507047,28098,77909
490,,9800,243724,8468510,28086,77819
491,,9820,243724,8444850,28080,77762
492,,9840,243724,8421189,28074,77704
493,,9860,243724,8404474,28067,77665
494,,9880,243724,8394702,28061,77644
495,,9900,243724,8384931,28055,77623
496,,9920,243724,8390640,28049,77643
497,,9940,243724,8396350,28042,77663
498,,9960,243724,8406478,28036,77695
499,,9980,243724,8421025,28030,77738
500,,10000,243724,8435572,28024,77782
501,,10020,243724,8458958,28036,77833
502,,10040,243724,8482344,28049,77885
503,,10060,243724,8510450,28061,77948
504,,10080,243724,8543277,28074,78023
505,,10100,243724,8576105,28086,78097
506,,10120,243724,8624578,28090,78216
507,,10140,243724,8673052,28094,78335
508,,10160,243724,8718561,28098,78445
509,,10180,243724,8761104,28103,78547
510,,10200,243724,8803649,28107,78648
511,,10220,243724,8819404,28111,78683
512,,10240,243724,8835159,28115,78718
513,,10260,243724,8853632,28119,78759
514,,10280,243724,8874822,28123,78806
515,,10300,243724,8896012,28127,78854
516,,10320,243724,8895627,28132,78850
517,,10340,243724,8895243,28136,78846
518,,10360,243724,8892416,28140,78836
519,,10380,243724,8887146,28144,78820
520,,10400,243724,8881876,28148,78805
521,,10420,243724,8896917,28173,78822
522,,10440,243724,8911959,28198,78839
523,,10460,243724,8927027,28223,78856
524,,10480,243724,8942124,28248,78873
525,,10500,243724,8957221,28272,78890
526,,10520,243724,8943826,28310,78831
527,,10540,243724,8930431,28347,78771
528,,10560,243724,8926698,28384,78734
529,,10580,243724,8932627,28422,78720
530,,10600,243724,8938556,28459,78707
531,,10620,243724,8592602,28484,77774
532,,10640,243724,8246648,28509,76841
533,,10660,243724,8164524,28533,76616
534,,10680,243724,8346229,28558,77100
535,,10700,243724,8527935,28583,77584
536,,10720,243724,8697068,28558,78026
537,,10740,243724,8866202,28533,78468
538,,10760,243724,8777271,28509,78242
539,,10780,243724,8430274,28484,77348
540,,10800,243724,8083278,28459,76454
541,,10820,243724,8291114,28422,77051
542,,10840,243724,8498949,28384,77649
543,,10860,243724,8365607,28347,77260
544,,10880,243724,7891087,28310,75882
545,,10900,243724,7416568,28272,74505
546,,10920,243724,6943091,28291,72548
547,,10940,243724,6469614,28310,70592
548,,10960,243724,6193708,28328,69406
549,,10980,243724,6115372,28347,68991
550,,11000,243724,6037035,28366,68576
551,,11020,243724,6048947,28384,68617
552,,11040,243724,6060860,28403,68658
553,,11060,243724,6064867,28422,68658
554,,11080,243724,6060969,28440,68618
555,,11100,243724,6057072,28459,68577
556,,11120,243724,6050045,28471,68526
557,,11140,243724,6043019,28484,68476
558,,11160,243724,6285439,28496,69513
559,,11180,243724,6777306,28509,71636
560,,11200,243724,7269172,28521,73759
561,,11220,243724,7767023,28509,75304
562,,11240,243724,8264873,28496,76848
563,,11260,243724,8545254,28484,77706
564,,11280,243724,8608165,28471,77878
565,,11300,243724,8671075,28459,78050
566,,11320,243724,8636710,28446,77972
567,,11340,243724,8602346,28434,77893
568,,11360,243724,8578851,28422,77843
569,,11380,243724,8566225,28409,77820
570,,11400,243724,8553599,28397,77797
571,,11420,243724,8580991,28372,77887
572,,11440,243724,8608385,28347,77976
573,,11460,243724,8644973,28322,78088
574,,11480,243724,8690756,28297,78223
575,,11500,243724,8736539,28272,78357
576,,11520,243724,8775625,28297,78434
577,,11540,243724,8814711,28322,78511
578,,11560,243724,8848554,28347,78574
579,,11580,243724,8877154,28372,78625
580,,11600,243724,8905755,28397,78675
581,,11620,243724,8917612,28403,78698
582,,11640,243724,8929471,28409,78722
583,,11660,243724,8937979,28415,78738
584,,11680,243724,8943140,28422,78745
585,,11700,243724,8948300,28428,78753
586,,11720,243724,8962023,28434,78781
587,,11740,243724,8975747,28440,78809
588,,11760,243724,8544266,28446,77453
589,,11780,243724,7667579,28453,74712
590,,11800,243724,6790893,28459,71972
591,,11820,243724,6702400,28484,71570
592,,11840,243724,6613908,28509,71167
593,,11860,243724,6924509,28533,72190
594,,11880,243724,7634203,28558,74640
595,,11900,243724,8343896,28583,77089
596,,11920,243724,8515007,28596,77527
597,,11940,243724,8686117,28608,77964
598,,11960,243724,8753282,28620,78132
599,,11980,243724,8716502,28633,78030
600,,12000,243724,8679722,28645,77928
601,,12020,243724,8659630,28639,77881
602,,12040,243724,8639538,28633,77835
603,,12060,243724,8624688,28627,77802
604,,12080,243724,8615082,28620,77782
605,,12100,243724,8605475,28614,77762
606,,12120,243724,8616015,28608,77794
607,,12140,243724,8626555,28602,77826
608,,12160,243724,8626610,28596,77831
609,,12180,243724,8616180,28589,77809
610,,12200,243724,8605749,28583,77787
611,,12220,243724,8606902,28571,77799
612,,12240,243724,8608056,28558,77812
613,,12260,243724,8621148,28546,77855
614,,12280,243724,8646181,28533,77929
615,,12300,243724,8671213,28521,78002
616,,12320,243724,8667261,28509,78002
617,,12340,243724,8663309,28496,78001
618,,12360,243724,8660124,28484,78003
619,,12380,243724,8657709,28471,78006
620,,12400,243724,8655293,28459,78010
621,,12420,243724,8617854,28471,77904
622,,12440,243724,8580415,28484,77798
623,,12460,243724,8550469,28496,77711
624,,12480,243724,8528017,28509,77642
625,,12500,243724,8505564,28521,77574
626,,12520,243724,8516488,28517,77606
627,,12540,243724,8527413,28513,77638
628,,12560,243724,8542756,28509,77681
629,,12580,243724,8562519,28504,77736
630,,12600,243724,8582281,28500,77790
631,,12620,243724,8603526,28496,77848
632,,12640,243724,8624771,28492,77906
633,,12660,243724,8645302,28488,77962
634,,12680,243724,8665119,28484,78015
635,,12700,243724,8684937,28480,78069
636,,12720,243724,8694763,28475,78097
637,,12740,243724,8704590,28471,78125
638,,12760,243724,8706703,28467,78133
639,,12780,243724,8701104,28463,78122
640,,12800,243724,8695504,28459,78111
641,,12820,243724,8741013,28471,78215
642,,12840,243724,8786521,28484,78319
643,,12860,243724,8833046,28496,78423
644,,12880,243724,8880586,28509,78529
645,,12900,243724,8928125,28521,78635
646,,12920,243724,8148659,28533,76237
647,,12940,243724,7369192,28546,73839
648,,12960,243724,6799868,28558,71826
649,,12980,243724,6440684,28571,70196
650,,13000,243724,6081500,28583,68566
651,,13020,243724,6085453,28596,68573
652,,13040,243724,6089406,28608,68580
653,,13060,243724,6191759,28620,69055
654,,13080,243724,6392513,28633,69999
655,,13100,243724,6593267,28645,70943
656,,13120,243724,7233408,28633,73223
657,,13140,243724,7873549,28620,75504
658,,13160,243724,8258095,28608,76826
659,,13180,243724,8387045,28596,77189
660,,13200,243724,8515995,28583,77552
661,,13220,243724,8403678,28577,77251
662,,13240,243724,8291360,28571,76950
663,,13260,243724,8176930,28564,76632
664,,13280,243724,8060387,28558,76297
665,,13300,243724,7943843,28552,75962
666,,13320,243724,7868196,28546,75733
667,,13340,243724,7792550,28540,75504
668,,13360,243724,7741058,28533,75348
669,,13380,243724,7713719,28527,75266
670,,13400,243724,7686381,28521,75184
671,,13420,243724,7669912,28496,75152
672,,13440,243724,7653443,28471,75120
673,,13460,243724,7654239,28446,75144
674,,13480,243724,7672300,28422,75224
675,,13500,243724,7690361,28397,75305
676,,13520,243724,7719456,28359,75429
677,,13540,243724,7748551,28322,75554
678,,13560,243724,7792989,28285,75724
679,,13580,243724,7852771,28248,75940
680,,13600,243724,7912552,28210,76156
681,,13620,243724,8023662,28198,76489
682,,13640,243724,8134771,28185,76823
683,,13660,243724,8253511,28173,77165
684,,13680,243724,8379881,28161,77517
685,,13700,243724,8506251,28148,77869
686,,13720,243724,8603361,28161,78105
687,,13740,243724,8700472,28173,78341
688,,13760,243724,8764700,28185,78493
689,,13780,243724,8796046,28198,78560
690,,13800,243724,8827392,28210,78627
691,,13820,243724,8834309,28206,78647
692,,13840,243724,8841226,28202,78666
693,,13860,243724,8842460,28198,78673
694,,13880,243724,8838014,28194,78665
695,,13900,243724,8833567,28190,78657
696,,13920,243724,8811609,28185,78607
697,,13940,243724,8789651,28181,78557
698,,13960,243724,8782898,28177,78544
699,,13980,243724,8791353,28173,78567
700,,14000,243724,8799807,28169,78591
701,,14020,243724,8810456,28165,78620
702,,14040,243724,8821105,28161,78649
703,,14060,243724,8840182,28156,78698
704,,14080,243724,8867685,28152,78767
705,,14100,243724,8895188,28148,78836
706,,14120,243724,8878664,28198,78759
707,,14140,243724,8862141,28248,78682
708,,14160,243724,8841390,28297,78594
709,,14180,243724,8816412,28347,78496
710,,14200,243724,8791435,28397,78398
711,,14220,243724,8745761,28388,78290
712,,14240,243724,8700088,28380,78183
713,,14260,243724,8636957,28372,78029
714,,14280,243724,8556370,28364,77827
715,,14300,243724,8475783,28355,77626
716,,14320,243724,8370054,28347,77344
717,,14340,243724,8264324,28339,77063
718,,14360,243724,8159940,28330,76776
719,,14380,243724,8056901,28322,76484
720,,14400,243724,7953861,28314,76192
721,,14420,243724,7916093,28306,76085
722,,14440,243724,7878325,28297,75978
723,,14460,243724,7851508,28289,75903
724,,14480,243724,7835643,28281,75861
